# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRISS-F480M     NIRISS-F277W     NIRISS-F430M     NIRISS-F380M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.02300000       1.00000000E-03   2704.96111076    -2.15321821      0.38237368       3.63516622       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       1.26638017E-03   2695.32318967    -2.22513332      0.35451578       3.70087174       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       1.60371874E-03   2683.74591543    -2.29526100      0.32984974       3.76351265       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       2.03091762E-03   2670.78301030    -2.35571118      0.31066559       3.81555805       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       2.57191381E-03   2661.33144304    -2.39401740      0.29937509       3.84771123       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       3.25702066E-03   2657.15353621    -2.41205256      0.29414610       3.86301655       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       4.12462638E-03   2655.04924648    -2.42188091      0.29130021       3.87146116       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       5.22334507E-03   2652.89741371    -2.43233568      0.28828178       3.88050835       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       6.61474064E-03   2649.93952043    -2.44752416      0.28391610       3.89376246       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       8.37677640E-03   2645.14431630    -2.47290809      0.27673601       3.91601108       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       1.06081836E-02   2633.40942409    -2.52611784      0.26261724       3.96149604       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       1.34339933E-02   2577.13820554    -2.67985486      0.22973263       4.07769673       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       1.70125428E-02   2491.19806110    -2.87097259      0.19729270       4.20992080       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       2.15443469E-02   2398.79874595    -3.03555418      0.17606344       4.30880569       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       2.72833338E-02   2300.90603731    -3.18697305      0.16074704       4.38785862       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       3.45510729E-02   2190.61553398    -3.33751008      0.14912054       4.45306917       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       4.37547938E-02   2072.30596149    -3.48957795      0.13987275       4.50867720       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       5.54102033E-02   1946.78770886    -3.64572341      0.13241357       4.55627914       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       7.01703829E-02   1833.74568448    -3.78945144      0.12648054       4.59609543       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02300000       8.88623816E-02   1703.36205061    -3.95227449      0.12152705       4.63079736       10.99381232      11.97135660      10.64252337      9.99266467      
  0.02300000       1.12533558E-01   1586.60238268    -4.10519479      0.11746086       4.66035649       11.29000955      12.37898114      10.96308931      10.32121572     
  0.02300000       1.42510267E-01   1480.81486270    -4.25000680      0.11413610       4.68529716       11.56996787      12.78823007      11.28785370      10.70494342     
  0.02300000       1.80472177E-01   1384.12537825    -4.38947738      0.11126013       4.70746359       11.83687950      13.19404409      11.59495157      11.11867396     
  0.02300000       2.28546386E-01   1288.83504260    -4.53319106      0.10874963       4.72728651       12.10949488      13.62586124      11.90816410      11.53649111     
  0.02300000       2.89426612E-01   1211.93115446    -4.65824234      0.10650174       4.74542906       12.31646804      13.98942100      12.14651906      11.87383329     
  0.02300000       3.66524124E-01   1118.31065873    -4.81408340      0.10453740       4.76159905       12.58619452      14.46401500      12.44463573      12.25319283     
  0.02300000       4.64158883E-01   1038.31560343    -4.95706001      0.10286092       4.77564184       12.80736443      14.90862151      12.67989016      12.57696698     
  0.02300000       5.87801607E-01   964.60470546     -5.09762364      0.10137153       4.78831039       13.00727298      15.35315366      12.89389792      12.89160516     
  0.02300000       7.44380301E-01   897.30191349     -5.23468459      0.10005032       4.79970552       13.17933800      15.80560890      13.07265414      13.21053875     
  0.02300000       9.42668455E-01   835.38040904     -5.36925128      0.09886182       4.81008490       13.32272192      16.26252164      13.23210945      13.52573208     
  0.02300000       1.19377664E+00   772.55347565     -5.51458856      0.09778332       4.81961251       13.45669384      16.77142940      13.37625685      13.85874008     
  0.02300000       1.51177507E+00   711.20209118     -5.66688511      0.09682671       4.82815172       13.59424605      17.32301169      13.52973563      14.21201665     
  0.02300000       1.91448198E+00   664.02351587     -5.79378384      0.09597688       4.83580882       13.69864123      17.79756121      13.65024919      14.52105645     
  0.02300000       2.42446202E+00   620.81354422     -5.91788691      0.09518297       4.84302360       13.80962040      18.26947092      13.80414316      14.81961774     
  0.02300000       3.07029063E+00   577.37920915     -6.05065257      0.09444352       4.84979776       13.97750479      18.81650240      13.99237040      15.16258877     
  0.02300000       3.88815518E+00   537.35465299     -6.18170818      0.09376481       4.85606234       14.12416327      19.37755374      14.18189980      15.51585543     
  0.02300000       4.92388263E+00   502.60776164     -6.30374041      0.09312918       4.86197053       14.29229052      19.90415025      14.40985644      15.84866164     
  0.02300000       6.23550734E+00   470.21664813     -6.42505260      0.09253267       4.86755185       14.47306701      20.46262743      14.57395874      16.20699428     
  0.02300000       7.89652287E+00   440.38892441     -6.54416089      0.09197589       4.87279410       14.69316778      21.07283503      14.84198821      16.58350047     
  0.02300000       1.00000000E+01   414.26685859     -6.65532929      0.09145215       4.87775421       14.90226835      21.68812306      15.06831156      16.95585720     
