# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F1065C      MIRI-F1140C      MIRI-F1550C      MIRI-F2300C     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00050000       1.00000000E-03   598.31821926     -5.44534603      0.17655689       2.64361673       10.94210893      10.50322780      10.45752503      10.29216208     
  0.00050000       1.26638017E-03   573.58170683     -5.54359364      0.17156841       2.66850978       11.11033280      10.64849370      10.58686443      10.40455827     
  0.00050000       1.60371874E-03   548.47255472     -5.64556990      0.16685346       2.69271568       11.28679606      10.80005508      10.71964727      10.51808715     
  0.00050000       2.03091762E-03   523.77650221     -5.74912343      0.16239988       2.71621520       11.46603013      10.95689629      10.85877327      10.63468447     
  0.00050000       2.57191381E-03   498.83091454     -5.85651383      0.15822252       2.73884800       11.65495241      11.11442185      10.99640314      10.75319895     
  0.00050000       3.25702066E-03   476.09368684     -5.95951318      0.15426862       2.76082974       11.84280770      11.27902520      11.14032845      10.87399724     
  0.00050000       4.12462638E-03   453.07421029     -6.06683651      0.15054880       2.78203075       12.04511388      11.46620536      11.30293177      11.00554792     
  0.00050000       5.22334507E-03   432.43059893     -6.16847779      0.14701360       2.80266924       12.26063761      11.66122768      11.46151580      11.13848175     
  0.00050000       6.61474064E-03   411.66116789     -6.27405270      0.14365686       2.82273277       12.48963843      11.85766224      11.63666039      11.27598566     
  0.00050000       8.37677640E-03   393.77499372     -6.37078787      0.14045523       2.84230856       12.71779463      12.05527695      11.80360489      11.40768174     
  0.00050000       1.06081836E-02   379.31246760     -6.45568163      0.13727613       2.86219518       12.91622326      12.23270747      11.95134518      11.52617641     
  0.00050000       1.34339933E-02   364.18249809     -6.54637816      0.13415288       2.88218484       13.15096010      12.44315016      12.11981717      11.66181656     
  0.00050000       1.70125428E-02   349.05002838     -6.63993273      0.13112490       2.90201453       13.42658573      12.67681456      12.30798976      11.81054794     
  0.00050000       2.15443469E-02   337.66345967     -6.71743585      0.12815521       2.92191271       13.59168677      12.82865191      12.42514570      11.90777080     
  0.00050000       2.72833338E-02   325.27227241     -6.80267550      0.12519530       2.94220902       13.83311373      13.04178946      12.58759152      12.03992538     
  0.00050000       3.45510729E-02   311.77256552     -6.89666051      0.12229826       2.96254454       14.14124068      13.31302809      12.79352212      12.19383958     
  0.00050000       4.37547938E-02   297.91305700     -6.99554565      0.11952786       2.98244622       14.44882270      13.58890666      12.99399413      12.34403889     
  0.00050000       5.54102033E-02   286.11222746     -7.08493534      0.11691885       3.00161579       14.73918593      13.84833830      13.18060499      12.48552894     
  0.00050000       7.01703829E-02   273.68833236     -7.18112303      0.11438277       3.02066353       15.08954869      14.15683161      13.39101577      12.64197888     
  0.00050000       8.88623816E-02   260.46958995     -7.28572100      0.11195755       3.03927774       15.52067578      14.52884134      13.62014208      12.81359601     
  0.00050000       1.12533558E-01   247.94277158     -7.38918389      0.10967923       3.05713631       16.00377307      14.93722885      13.83724873      12.98350367     
  0.00050000       1.42510267E-01   238.74862318     -7.47266532      0.10745056       3.07496689       16.41812420      15.28302656      14.00478539      13.12320630     
  0.00050000       1.80472177E-01   228.62484376     -7.56590485      0.10525295       3.09291639       16.89833542      15.67820101      14.17988008      13.27306504     
  0.00050000       2.28546386E-01   217.41007511     -7.67093518      0.10313445       3.11057735       17.45153099      16.12852331      14.36376179      13.43399632     
  0.00050000       2.89426612E-01   205.44788419     -7.78610106      0.10115094       3.12744459       18.05537378      16.61662554      14.55170908      13.60101050     
