# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F1065C      MIRI-F1140C      MIRI-F1550C      MIRI-F2300C     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00300000       1.00000000E-03   1492.05269067    -3.80730137      0.18716201       3.37110135       8.86392066       8.81383044       8.98663653       8.97654357      
  0.00300000       1.26638017E-03   1424.22180184    -3.92343734      0.17970434       3.40642051       9.05458933       8.98128167       9.15457458       9.14370985      
  0.00300000       1.60371874E-03   1352.78023303    -4.04543885      0.17308199       3.43903364       9.25252332       9.15170037       9.32111154       9.30826072      
  0.00300000       2.03091762E-03   1283.33708892    -4.16686149      0.16723065       3.46890569       9.44726860       9.31798064       9.47938836       9.46412043      
  0.00300000       2.57191381E-03   1222.90417427    -4.27870924      0.16191775       3.49694837       9.62828855       9.47197074       9.62140931       9.60325977      
  0.00300000       3.25702066E-03   1161.10124741    -4.39514590      0.15707861       3.52330355       9.81302361       9.62780175       9.76322053       9.74115405      
  0.00300000       4.12462638E-03   1097.81413219    -4.51712518      0.15269310       3.54789737       10.00328823      9.78574205       9.90089700       9.87489759      
  0.00300000       5.22334507E-03   1038.21799114    -4.63692847      0.14872447       3.57077089       10.18975810      9.94105472       10.02966218      10.00228511     
  0.00300000       6.61474064E-03   979.14880571     -4.75985084      0.14514730       3.59191799       10.37578811      10.09508964      10.15560425      10.12577995     
  0.00300000       8.37677640E-03   921.88050787     -4.88410791      0.14191740       3.61146575       10.55424394      10.24229319      10.27805241      10.24285982     
  0.00300000       1.06081836E-02   868.67060501     -5.00555237      0.13897762       3.62964670       10.73052202      10.38559213      10.39832118      10.35906732     
  0.00300000       1.34339933E-02   816.62663784     -5.12994331      0.13627081       3.64673031       10.90504317      10.52530177      10.51850804      10.47441223     
  0.00300000       1.70125428E-02   766.37956222     -5.25609367      0.13381418       3.66253222       11.08627403      10.67217128      10.64685753      10.59386955     
  0.00300000       2.15443469E-02   717.49368602     -5.38519400      0.13158112       3.67714882       11.27466049      10.82469984      10.78348968      10.71779523     
  0.00300000       2.72833338E-02   668.84063622     -5.52060986      0.12956198       3.69058069       11.48411293      10.98598786      10.92410620      10.84543501     
  0.00300000       3.45510729E-02   621.51283679     -5.66032759      0.12775415       3.70278599       11.71115368      11.16128704      11.07447279      10.97830463     
  0.00300000       4.37547938E-02   582.19315427     -5.78501819      0.12612040       3.71396522       11.91520369      11.32929153      11.21412806      11.09812313     
  0.00300000       5.54102033E-02   548.32136909     -5.89986317      0.12457314       3.72468690       12.11050025      11.49483594      11.34685849      11.21204236     
  0.00300000       7.01703829E-02   513.95976689     -6.02247103      0.12312125       3.73486979       12.33754043      11.68111835      11.49215847      11.33358424     
  0.00300000       8.88623816E-02   481.84222432     -6.14415561      0.12176940       3.74445934       12.59133016      11.88304575      11.65174022      11.46185319     
  0.00300000       1.12533558E-01   451.12441209     -6.26767152      0.12050485       3.75352663       12.84891125      12.10713130      11.82126284      11.59447719     
  0.00300000       1.42510267E-01   425.48776073     -6.37804387      0.11929906       3.76226166       13.06993016      12.30349362      11.96930373      11.70717088     
  0.00300000       1.80472177E-01   399.75192407     -6.49482375      0.11814949       3.77067185       13.36818216      12.56804973      12.16138276      11.84850334     
  0.00300000       2.28546386E-01   379.68650692     -6.59252901      0.11703564       3.77889937       13.62683284      12.78800331      12.31681210      11.96248719     
  0.00300000       2.89426612E-01   359.15706761     -6.69719867      0.11594575       3.78702595       13.94530264      13.07139314      12.51886650      12.10102390     
  0.00300000       3.66524124E-01   342.76733554     -6.78633735      0.11488279       3.79502569       14.24751110      13.31970579      12.70597784      12.22155996     
  0.00300000       4.64158883E-01   328.84843266     -6.86665698      0.11379086       3.80332090       14.52945552      13.57440803      12.88169492      12.33979347     
  0.00300000       5.87801607E-01   313.66290959     -6.95728848      0.11268358       3.81181437       14.85534698      13.85606037      13.07187530      12.46489206     
  0.00300000       7.44380301E-01   297.93856902     -7.05511002      0.11158805       3.82030028       15.23500236      14.18649276      13.28070002      12.60398125     
  0.00300000       9.42668455E-01   283.72230806     -7.14850452      0.11050693       3.82875662       15.60390363      14.50584905      13.47544065      12.73735264     
  0.00300000       1.19377664E+00   268.31726320     -7.25392300      0.10943698       3.83720742       16.04777972      14.88925502      13.68762350      12.88689570     
  0.00300000       1.51177507E+00   252.22747807     -7.36955632      0.10840794       3.84541333       16.60531189      15.36717859      13.92365143      13.05439165     
  0.00300000       1.91448198E+00   241.40793878     -7.45388751      0.10739466       3.85357015       17.07097196      15.75739129      14.07934212      13.17786192     
  0.00300000       2.42446202E+00   230.19320760     -7.54496246      0.10635485       3.86202094       17.64241955      16.22706987      14.23366356      13.31031488     
  0.00300000       3.07029063E+00   217.87380261     -7.64898633      0.10532452       3.87047651       18.33681309      16.79130142      14.39601367      13.45736660     
  0.00300000       3.88815518E+00   204.64614930     -7.76599444      0.10433167       3.87870322       19.09394716      17.40409498      14.56879424      13.61547621     
