# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRISS-F277W     NIRISS-F200W     NIRISS-F115W     NIRISS-F140M     NIRISS-F480M     NIRISS-F158M     NIRISS-F090W     NIRISS-F356W     NIRISS-F380M     NIRISS-F150W     NIRISS-F444W     NIRISS-F430M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.05000000       1.00000000E-03   2938.04567660    -1.63078965      0.59145218       3.59354578       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       1.26638017E-03   2937.64965196    -1.65241300      0.57706673       3.61493255       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       1.60371874E-03   2937.40058071    -1.66353438      0.56981137       3.62592259       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       2.03091762E-03   2937.17619694    -1.67455543      0.56271514       3.63680747       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       2.57191381E-03   2936.83806150    -1.69077155      0.55242831       3.65283277       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       3.25702066E-03   2936.29712576    -1.71922407      0.53482528       3.68096062       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       4.12462638E-03   2935.41831767    -1.78395916      0.49671710       3.74516622       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       5.22334507E-03   2933.47551871    -1.92921750      0.42077788       3.88928076       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       6.61474064E-03   2930.05219267    -2.05985922      0.36286373       4.01789995       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       8.37677640E-03   2917.65544083    -2.17472994      0.32062108       4.12540318       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       1.06081836E-02   2905.00485278    -2.27682191      0.28755504       4.21994399       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       1.34339933E-02   2888.97867343    -2.37266516      0.26037898       4.30617535       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       1.70125428E-02   2866.46194522    -2.46657617      0.23737972       4.38649976       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       2.15443469E-02   2850.44718970    -2.55142156      0.21771502       4.46161031       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       2.72833338E-02   2820.75989321    -2.64171044      0.20037173       4.53371400       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       3.45510729E-02   2786.23890053    -2.73148386      0.18520210       4.60209505       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       4.37547938E-02   2747.62597269    -2.82105983      0.17178460       4.66741788       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       5.54102033E-02   2701.68871255    -2.91285118      0.15985771       4.72991977       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       7.01703829E-02   2646.74953303    -3.00807047      0.14926470       4.78947201       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       8.88623816E-02   2584.46670764    -3.10594355      0.13986743       4.84595359       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       1.12533558E-01   2511.16074245    -3.20959166      0.13148538       4.89963172       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       1.42510267E-01   2430.15870724    -3.31702399      0.12406160       4.95011084       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       1.80472177E-01   2333.73675864    -3.43413658      0.11755924       4.99687273       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       2.28546386E-01   2220.69943823    -3.56258766      0.11198408       5.03907359       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       2.89426612E-01   2112.55960618    -3.68712521      0.10721339       5.07688783       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       3.66524124E-01   1993.53979775    -3.82187580      0.10309483       5.11091197       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       4.64158883E-01   1871.78676043    -3.96167696      0.09955898       5.14122411       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05000000       5.87801607E-01   1750.42736237    -4.10460698      0.09656757       5.16772271       12.36826208      12.27835173      13.18792351      13.40387165      11.39948928      12.01899331      15.04392898      11.16276793      10.48136580      12.57265498      10.91411681      10.96972434     
  0.05000000       7.44380301E-01   1636.78251554    -4.24469921      0.09399222       5.19120123       12.75346577      12.67922926      13.48564637      13.84893569      11.65213244      12.35721449      15.41576511      11.57886355      10.80830514      12.93143192      11.17464806      11.24568411     
