# Mass             Age              Teff             Luminosity       Radius           Gravity          MKO_Y            MKO_J            MKO_H            MKO_K            MKO_Lp           MKO_Mp           W1               W2               W3               W4               IRAC_CH1         IRAC_CH2        
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01000000       1.00000000E-03   2336.63779778    -2.72871098      0.26417258       3.59464161       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       1.26638017E-03   2299.85270174    -2.81470872      0.24698150       3.65308818       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       1.60371874E-03   2258.39862612    -2.90364494      0.23120960       3.71040530       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       2.03091762E-03   2212.81619592    -2.99475584      0.21684823       3.76610419       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       2.57191381E-03   2152.73205709    -3.09599734      0.20391639       3.81951258       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       3.25702066E-03   2083.86829404    -3.20266433      0.19246376       3.86971865       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       4.12462638E-03   2015.85776807    -3.30765801      0.18225487       3.91705839       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       5.22334507E-03   1938.87701735    -3.41964863      0.17317794       3.96143106       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       6.61474064E-03   1856.80663105    -3.53593814      0.16516550       4.00257775       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       8.37677640E-03   1769.43036233    -3.65754816      0.15811838       4.04045045       12.86182725      11.54241812      11.03001297      10.57828828      9.51816312       10.32343532      10.14334259      10.06804917      9.13376490       9.09712025       9.79508303       10.00422747     
  0.01000000       1.06081836E-02   1678.48705199    -3.78361484      0.15197973       4.07484471       13.22552130      11.84545709      11.30992665      10.91586657      9.76574050       10.62433723      10.46088338      10.34170521      9.31124577       9.26191454       10.08559568      10.27469958     
