# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F560W       MIRI-F770W       MIRI-F1000W      MIRI-F1130W      MIRI-F1280W      MIRI-F1500W      MIRI-F1800W      MIRI-F2100W      MIRI-F2550W     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01500000       1.00000000E-03   2538.20000777    -2.43802575      0.31286695       3.62378920       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01500000       1.26638017E-03   2520.91267890    -2.51171077      0.29137811       3.68559440       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01500000       1.60371874E-03   2492.93810514    -2.59359454      0.27114560       3.74810316       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01500000       2.03091762E-03   2460.94946527    -2.67632903      0.25295801       3.80841029       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01500000       2.57191381E-03   2429.05887431    -2.75659188      0.23673314       3.86599012       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01500000       3.25702066E-03   2392.90334008    -2.83656356      0.22248254       3.91991553       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01500000       4.12462638E-03   2354.48256001    -2.91171337      0.21075271       3.96696148       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01500000       5.22334507E-03   2321.05941108    -2.97351383      0.20197837       4.00389811       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01500000       6.61474064E-03   2295.39799403    -3.01893911      0.19599575       4.03001307       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01500000       8.37677640E-03   2277.77231014    -3.05005940      0.19202885       4.04777335       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
