# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F200W     NIRCAM-F210M     NIRCAM-F187N     NIRCAM-F182M     NIRCAM-F212N    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.02400000       1.00000000E-03   2718.26535554    -2.12654649      0.39044857       3.63550012       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       1.26638017E-03   2709.93221707    -2.19748947      0.36205025       3.70108963       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       1.60371874E-03   2700.98084152    -2.26393736      0.33760321       3.76181247       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       2.03091762E-03   2691.45951829    -2.31735579      0.31972259       3.80908125       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       2.57191381E-03   2684.37888157    -2.34934499      0.30978735       3.83649864       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       3.25702066E-03   2680.72221846    -2.36458474      0.30523857       3.84934739       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       4.12462638E-03   2678.19915448    -2.37455312      0.30231455       3.85770755       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       5.22334507E-03   2675.19139683    -2.38684667      0.29874044       3.86803778       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       6.61474064E-03   2670.71177121    -2.40561143      0.29333895       3.88388647       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       8.37677640E-03   2663.76442738    -2.43786268      0.28411601       3.91163442       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       1.06081836E-02   2649.76766180    -2.50884123      0.26459398       3.97346570       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       1.34339933E-02   2584.44342800    -2.69178760      0.22532099       4.11302388       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       1.70125428E-02   2506.10013951    -2.86549708      0.19619254       4.23326106       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       2.15443469E-02   2420.30840825    -3.01927694      0.17621614       4.32653671       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       2.72833338E-02   2329.02614151    -3.16257780      0.16135532       4.40306117       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       3.45510729E-02   2225.96661759    -3.30575549      0.14979867       4.46761139       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       4.37547938E-02   2110.95609590    -3.45370319      0.14047761       4.52341183       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       5.54102033E-02   1993.67298772    -3.60131028      0.13288391       4.57168279       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       7.01703829E-02   1871.77954755    -3.75146056      0.12682019       4.61224992       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02400000       8.88623816E-02   1757.50902549    -3.89635786      0.12174549       4.64772076       11.71079193      11.40829780      12.38005946      12.12018579      11.21064761     
  0.02400000       1.12533558E-01   1631.88604168    -4.05583695      0.11752562       4.67836080       12.13764054      11.81151437      12.83712175      12.56285388      11.60110804     
  0.02400000       1.42510267E-01   1522.94587220    -4.20172057      0.11407772       4.70422486       12.55341821      12.20473975      13.27471753      12.98933639      11.98401382     
  0.02400000       1.80472177E-01   1425.84066225    -4.33897204      0.11112473       4.72700504       12.96357557      12.59120392      13.71163027      13.42080948      12.36383338     
  0.02400000       2.28546386E-01   1327.68282869    -4.48336365      0.10853426       4.74749266       13.40948231      13.00811755      14.20514360      13.91176223      12.77758109     
  0.02400000       2.89426612E-01   1245.25198791    -4.61312685      0.10625386       4.76593655       13.79008479      13.35936080      14.64470258      14.35263884      13.12564639     
